month,new_logos,churn_rate_m,expansion_rate_m,price_step,attach_rate,arpa_insights,acv_new,units_per_platform_customer,units_per_insights_customer,cloud_unit_price,cloud_fixed,commit_units,commit_discount,third_party_pct,payment_pct,annual_share,dso_days,commission_pct,marketing_programs,rd_contractors,rd_tooling_per_head,ga_software_per_head,ga_fixed,financing
2024-09,8.0,0.009315562256559957,0.009406911362605718,0.0,0.126,11615.0,34000.0,194.86561868096305,1457.1550805724428,0.43912,25000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,224000.0,55000.0,450.0,180.0,72000.0,0.0
2024-10,8.0,0.008115864926388397,0.009489038827770893,0.0,0.132,11731.15,34000.0,202.24810915329212,1525.7659907368302,0.43824176,25000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,224000.0,55000.0,450.0,180.0,72000.0,0.0
2024-11,8.0,0.008999252615085957,0.00967918222976493,0.0,0.138,11848.4615,34000.0,202.03000035161583,1488.1428606970821,0.43736527648,25000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,224000.0,55000.0,450.0,180.0,72000.0,0.0
2024-12,10.0,0.008888777497646388,0.01028579866939015,0.0,0.144,11966.946115,34000.0,197.55446945281744,1473.9317904094673,0.43649054592704,25000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,280000.0,55000.0,450.0,180.0,72000.0,0.0
2025-01,7.0,0.009005225377621601,0.00929031158333476,0.05,0.15,12086.61557615,35700.0,203.0802997330972,1514.1706137774584,0.43561756483518593,25000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,196000.0,55000.0,450.0,180.0,72000.0,0.0
2025-02,8.0,0.008550593524290568,0.00931843352327436,0.0,0.156,12207.481731911499,35700.0,199.04009166349672,1507.560971188248,0.4347463297055156,25000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,224000.0,55000.0,450.0,180.0,72000.0,0.0
2025-03,10.0,0.008418498723472173,0.010228714810910549,0.0,0.16199999999999998,12329.556549230612,35700.0,197.67003488707877,1478.083007676963,0.4338768370461045,25000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,280000.0,55000.0,450.0,180.0,72000.0,0.0
2025-04,8.0,0.008572829742462618,0.009283903413199459,0.0,0.16799999999999998,12452.85211472292,35700.0,205.56323436228604,1500.5809103151664,0.4330090833720123,25000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,224000.0,55000.0,450.0,180.0,72000.0,0.0
2025-05,10.0,0.00838824975428945,0.009745526089473626,0.0,0.174,12577.38063587015,35700.0,200.70497956142094,1491.914606383708,0.4321430652052683,25000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,280000.0,55000.0,450.0,180.0,72000.0,0.0
2025-06,11.0,0.008616938890464252,0.010066055040473094,0.0,0.18,12703.154442228852,35700.0,195.54599172185215,1495.3913855999117,0.4312787790748578,25000.0,0.0,0.0,0.03,0.025,0.4,45.0,0.1,308000.0,55000.0,450.0,180.0,72000.0,0.0
