option_id,scenario,arr_end,arr_growth,revenue_18m,gross_profit_18m,ebitda_18m,cum_burn,cash_end,cash_min,runway_min,gm_min,gm_avg,fte_end,rd_fte_end,cloud_18m,stranded_cost_18m,plan_hires,plan_hire_cost_18m
hold_ondemand,base,38325017.22274269,0.5802777736314835,46835089.462666206,35361604.6676533,-4970369.135041509,4149447.584220993,20600831.603177514,20074089.727218837,36.414583217640185,0.7286010119945154,0.7550237455154474,139.16,70.56,4225935.874702214,0.0,0,0.0
hold_ondemand,upside,44853935.263318226,0.8494884567061556,51311656.71571599,39068260.806172855,-2519727.0151634235,1324951.9119760022,23425327.275422506,21087638.282382034,34.229129955717404,0.7294088454506785,0.7613915298549858,141.12,70.56,4689592.701745205,0.0,2,106396.695
hold_ondemand,downside,28548915.334373645,0.17717406627610321,39610105.81412549,29144874.167553294,-7955357.617323595,7704708.676657941,17045570.51074057,17045570.51074057,43.748582286047714,0.7265200127449212,0.7357938982621915,139.16,70.56,3542806.9904458406,0.0,0,0.0
hold_commit,base,38325017.22274269,0.5802777736314835,46835089.462666206,36171061.525014274,-4160912.277680541,3339990.726860025,21410288.460538484,20715214.536342263,38.88652593299336,0.748396017016602,0.7723068737564261,139.16,70.56,3416479.0173412473,42596.58099359579,0,0.0
hold_commit,upside,44853935.263318226,0.8494884567061556,51311656.71571599,39875436.98020512,-1712550.8411311521,517775.73794373055,24232503.449454777,21537632.33062476,36.44606512427087,0.7493188967698944,0.7771223837329709,141.12,70.56,3882416.5277129337,26182.642629597314,2,106396.695
hold_commit,downside,28548915.334373645,0.17717406627610321,39610105.81412549,29904575.91516475,-7195655.869712137,6945006.929046482,17805272.258352026,17805272.258352026,47.8076163964349,0.7461893042844625,0.7549733912727994,139.16,70.56,2783105.2428343804,239171.2061538877,0,0.0
phased_ondemand,base,40498712.36977075,0.6699070126096371,47952579.73785579,36238413.76542782,-9487088.51184093,8619868.077443773,16130411.109954735,16080649.477512445,29.794179877160452,0.7286010119945154,0.7557135395745911,161.7,84.28,4373229.878633753,0.0,23,3798557.2745916666
phased_ondemand,upside,47700305.93642757,0.9668545177333105,52744032.404864706,40172456.991127595,-7029722.27781716,5749408.885365026,19000870.302033484,18079217.432779025,30.369355282486072,0.7294088454506785,0.7616493309188547,163.66000000000003,84.28,4871648.268827494,0.0,25,3944307.969591667
phased_ondemand,downside,29686367.208817467,0.22407528240112518,40211019.16797704,29627033.243218794,-12303541.424617887,12063541.124609675,12686738.06278883,12686738.06278883,20.648966379675716,0.7265200127449212,0.7367889164772266,160.72,84.28,3634520.167708573,0.0,22,3754853.0795916663
phased_commit,base,40498712.36977075,0.6699070126096371,47952579.73785579,37048057.76028207,-8677444.516986676,7810224.082589523,16940055.104808986,16800235.0510075,32.678794347514255,0.748396017016602,0.772597803138311,161.7,84.28,3563585.883779501,42035.16851373877,23,3798557.2745916666
phased_commit,upside,47700305.93642757,0.9668545177333105,52744032.404864706,40979655.051473305,-6222524.217471454,4942210.8250193205,19808068.362379186,18721575.017324395,32.650663473305045,0.7493188967698944,0.7769533951616042,163.66000000000003,84.28,4064450.208481788,26116.983689296972,25,3944307.969591667
phased_commit,downside,29686367.208817467,0.22407528240112518,40211019.16797704,30407137.28528633,-11523437.382550351,11283437.082542142,13466842.104856366,13466842.104856366,23.2822077022558,0.7461893042844625,0.7561891718850474,160.72,84.28,2854416.125641036,177964.32278565835,22,3754853.0795916663
front_ondemand,base,42210227.18953245,0.7404789007627706,49041692.80190615,37025065.7336733,-12385496.332530914,11446437.533647664,13303841.653750846,13303841.653750846,19.809966415079497,0.7286010119945154,0.7549712014066979,169.54000000000002,88.2,4554655.585456372,0.0,31,5708674.987370833
front_ondemand,upside,49826906.70635396,1.054541886810552,54120593.14920875,41193796.86819174,-9851262.777247125,8474897.67321595,16275381.514182562,15380255.518137239,19.842673194299195,0.7294088454506785,0.7611482888707771,171.5,88.2,5083256.87151189,0.0,33,5864264.182370833
front_ondemand,downside,30601463.665756654,0.2618079879919728,40814964.76980917,30079878.463734336,-15127214.336387848,14858333.40972485,9891945.777673658,9891945.777673658,14.662367628484368,0.7265200127449212,0.7369816103818966,167.58,88.2,3758442.996942709,0.0,29,5591751.097370833
front_commit,base,42210227.18953245,0.7404789007627706,49041692.80190615,37834887.26754064,-11575674.798663575,10636615.999780323,14113663.187618183,14059151.337433599,20.957944166913048,0.748396017016602,0.771484121079729,169.54000000000002,88.2,3744834.051589035,41502.551474482534,31,5708674.987370833
front_commit,upside,49826906.70635396,1.054541886810552,54120593.14920875,42001016.81485089,-9044042.830587983,7667677.726556809,17082601.4608417,16098983.181642037,20.906602250797267,0.7493188967698944,0.7760634976607782,171.5,88.2,4276036.924852751,26051.324748996627,33,5864264.182370833
front_commit,downside,30601463.665756654,0.2618079879919728,40814964.76980917,30873851.31891437,-14333241.481207825,14064360.554544827,10685918.632853681,10685918.632853681,16.895251536064528,0.7461893042844625,0.7564345943464285,167.58,88.2,2964470.1417626864,136357.88344819713,29,5591751.097370833
