month,product,revenue,cogs_cloud,cogs_third_party,cogs_payment,cogs_payroll,cogs,gross_profit,gross_margin
2026-09,Platform,1910656.6873048425,59795.13306011111,57319.70061914527,28659.850309572634,253253.424945422,399028.108934251,1511628.5783705916,0.791156563298079
2026-09,Insights,178411.4718212093,92985.22971250754,5352.344154636278,2676.172077318139,23648.055973891438,124661.80191835339,53749.66990285591,0.3012680146303587
2026-10,Platform,1966360.9771379924,60374.07791872261,58990.829314139766,29495.414657069883,252328.30544161896,401188.6273315512,1565172.3498064412,0.7959740698701848
2026-10,Insights,191495.49337770333,97998.18105791246,5744.864801331099,2872.4324006655497,24573.175477694465,131188.65373760357,60306.83964009976,0.31492563389547396
2026-11,Platform,2021508.8787773454,60928.7434478163,60645.266363320356,30322.633181660178,251394.56848948088,403291.2114822777,1618217.6672950676,0.8004999059285866
2026-11,Insights,205105.66420316385,103066.80787847302,6153.169926094914,3076.584963047457,25506.91242983255,137803.47519744793,67302.18900571592,0.32813422909203965
2026-12,Platform,2091015.0750195177,62139.31142295578,62730.45225058553,31365.226125292764,250429.7359262693,406664.7257251034,1684350.3492944143,0.8055180325654479
2026-12,Insights,221031.33095514114,110179.83085408733,6630.939928654235,3315.4699643271174,26471.744993044184,146597.98574011287,74433.34521502827,0.3367547256462691
2027-01,Platform,2297661.429618836,63373.847906270414,68929.84288856508,34464.92144428254,259887.25576398356,426655.8680031016,1871005.5616157344,0.814308643343558
2027-01,Insights,236105.58952501844,116937.93933705584,7083.167685750554,3541.583842875277,26705.776987505888,154268.46785318755,81837.12167183089,0.3466123857400639
2027-02,Platform,2366797.6309996927,64682.74028306781,71003.92892999078,35501.96446499539,258688.05255429528,429876.68623234925,1936920.9447673433,0.8183720143192905
2027-02,Insights,255309.20493496864,126076.60848395628,7659.27614804906,3829.63807402453,27904.980197194174,165470.50290322406,89838.70203174459,0.35188195448976445
2027-03,Platform,2450208.6850041873,66295.74964472456,73506.26055012562,36753.13027506281,257455.61205524037,434010.75252515334,2016197.932479034,0.822867841755115
2027-03,Insights,277301.24303234025,136559.71166386895,8319.037290970207,4159.518645485104,29137.420696249028,178175.6882965733,99125.55473576696,0.35746523763042215
2027-04,Platform,2525010.2381073493,67656.73707495655,75750.30714322047,37875.15357161024,256226.91864303406,437509.1164328213,2087501.1216745279,0.8267297653570065
2027-04,Insights,299245.4868577109,146607.92149570776,8977.364605731325,4488.682302865663,30366.11410845536,190440.08251276013,108805.40434495074,0.36359914893783163
2027-05,Platform,2605470.98453235,69114.23403071468,78164.1295359705,39082.064767985255,254978.12835227698,441338.5566869474,2164132.4278454026,0.8306108341612707
2027-05,Insights,323054.0463341537,157357.21272883247,9691.62139002461,4845.810695012306,31614.90439921248,203509.54921308186,119544.49712107182,0.3700448840607307
2027-06,Platform,2693553.5078641167,70714.31179074424,80806.6052359235,40403.30261796175,274191.5627758289,466115.7824204584,2227437.7254436584,0.8269513558726108
2027-06,Insights,349162.8626568225,169011.0689645219,10474.885879704676,5237.442939852338,35543.19997566055,220266.59775973944,128896.26489708305,0.36915800241840085
2027-07,Platform,2763294.9189606444,71835.40824933973,82898.84756881933,41449.42378440967,281335.30456053076,477518.9841630995,2285775.934797545,0.8271921752229371
2027-07,Insights,373643.1949182714,179281.1065572948,11209.295847548141,5604.647923774071,38041.18819095862,234136.23851957568,139506.9563986957,0.3733694559303045
2027-08,Platform,2833208.3311912376,72927.59110939823,84996.24993573713,42498.12496786856,268099.9315288422,468521.8975418461,2364686.4336493914,0.8346320345087883
2027-08,Insights,399212.58975870215,189742.88732610835,11976.377692761065,5988.188846380533,37776.56122264718,245484.01508789713,153728.574670805,0.3850794754837864
2027-09,Platform,2918140.8467570934,74343.99726642718,87544.2254027128,43772.1127013564,266714.06119077536,472374.39656127174,2445766.450195822,0.8381248810912546
2027-09,Insights,428479.43856212933,201802.80810784103,12854.38315686388,6427.19157843194,39162.43156071405,260246.8144038509,168232.62415827843,0.3926270644930486
2027-10,Platform,3003282.8288187752,75729.11894380563,90098.48486456324,45049.24243228163,265317.4998396195,476194.34608027,2527088.482738505,0.8414420575009371
2027-10,Insights,459110.79005355336,214110.14130146516,13773.3237016066,6886.661850803301,40558.99291186988,275329.11976574495,183781.6702878084,0.4002991745551679
2027-11,Platform,3084923.12447717,76996.57455552425,92547.6937343151,46273.84686715755,283886.2048885281,499704.320045525,2585218.804431645,0.8380172536292249
2027-11,Insights,490438.7855494292,226286.19929603918,14713.163566482875,7356.581783241438,45132.017862961344,293487.9625087248,196950.82304070436,0.40158084728161153
2027-12,Platform,3181611.445128949,78584.43245367806,95448.34335386846,47724.17167693423,270748.94541549805,492505.8928999788,2689105.55222897,0.8452023757791021
2027-12,Insights,526090.4892676601,240206.44376800317,15782.7146780298,7891.3573390149,44769.27733599141,308649.7931210393,217440.6961466208,0.4133142502714834
2028-01,Platform,3483657.7129923124,79850.0736284685,104509.73138976938,52254.86569488469,281420.5897821748,518035.2604952974,2965622.452497015,0.8512955912507467
2028-01,Insights,558789.9391788541,251826.81625353667,16763.698175365622,8381.849087682811,45140.770765616755,322113.1342822018,236676.8048966523,0.42355237326650974
2028-02,Platform,3567707.593641918,80905.17744208832,107031.22780925754,53515.61390462877,300473.4078364861,541925.4269924607,3025782.1666494575,0.8481026225472523
2028-02,Insights,584534.6318875784,259752.74983672524,17536.03895662735,8768.019478313676,49229.68271130542,335286.49098297174,249248.14090460667,0.4264044032767313
