month,revenue_platform,revenue_insights,revenue,cogs_cloud,cogs_third_party,cogs_payment,cogs_payroll,cogs_recruiting,cogs,gross_profit,gross_margin,rd_payroll,rd_recruiting,rd_tooling,rd_contractors,rd_total,sm_payroll,sm_recruiting,sm_commission,sm_programs,sm_total,ga_payroll,ga_recruiting,ga_rent,ga_software,ga_fixed,ga_total,opex,ebitda,ebitda_margin,fte_total,fte_COGS,fte_R&D,fte_S&M,fte_G&A,arr_total
2026-09,1910656.6873048425,178411.4718212093,2089068.1591260517,194373.8170301582,62672.04477378155,31336.022386890774,276901.48091931344,0.0,565283.365110144,1523784.7940159077,0.7294088454506785,917162.2833986612,0.0,31752.0,60000.0,1008914.2833986612,313737.7209094683,0.0,82095.11413822988,452760.00000000006,848592.8350476982,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2273979.5825990527,-750194.788583145,-0.3591049843471762,139.16,26.46,70.56,27.44,14.7,25068817.909512624
2026-10,1966360.9771379924,191495.49337770333,2157856.470515696,201829.6786355134,64735.69411547088,32367.84705773544,276901.48091931344,0.0,575834.7007280332,1582021.7697876627,0.7331450406474823,917162.2833986612,0.0,31752.0,60000.0,1008914.2833986612,313737.7209094683,0.0,82721.28936884114,452760.00000000006,849219.0102783095,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2274605.757829664,-692583.9880420011,-0.3209592470608037,139.16,26.46,70.56,27.44,14.7,25894277.64618835
2026-11,2019774.4537773456,204907.61330473606,2224682.0670820815,209152.31126091818,66740.46201246243,33370.231006231224,276901.48091931344,0.0,586164.4851989252,1638517.5818831562,0.7365176382404407,917162.2833986612,0.0,31752.0,60000.0,1008914.2833986612,313737.7209094683,0.0,80435.1749164958,431200.00000000006,825372.8958259642,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2250759.6433773185,-612242.0614941623,-0.275204295729855,139.16,26.46,70.56,27.44,14.7,26696184.80498498
2026-12,2083032.4424595677,220078.660119078,2303111.1025786456,217576.1552090271,69093.33307735936,34546.66653867968,276901.48091931344,0.0,598117.6357443796,1704993.466834266,0.740300137898382,917162.2833986612,0.0,31752.0,60000.0,1008914.2833986612,313737.7209094683,0.0,92692.41578764928,517440.0,923870.1366971176,247823.66415269327,0.0,68600.0,25048.8,75000.0,416472.4641526932,2349256.884248472,-644263.4174142058,-0.2797361432945486,139.16,26.46,70.56,27.44,14.7,27637333.23094375
2027-01,2280749.0690793036,234139.16129611444,2514888.230375418,224600.04533492113,75446.64691126253,37723.32345563127,286593.03275148943,0.0,624363.0484533043,1890525.1819221135,0.7517332814587546,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,79593.68316758053,388080.00000000006,792392.2243088803,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2258553.480024532,-368028.2981024184,-0.14633982284273517,139.16,26.46,70.56,27.44,14.7,30178658.764505014
2027-02,2335739.2159165833,249096.676845942,2584835.8927625255,231962.7650680021,77545.07678287577,38772.53839143788,286593.03275148943,0.0,634873.4129938053,1949962.4797687202,0.7543854080750602,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,84939.51128486746,409640.0,819298.0524261671,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2285459.3081418187,-335496.8283730985,-0.12979424702066428,139.16,26.46,70.56,27.44,14.7,31018030.713150304
2027-03,2398659.489240783,265669.77020965406,2664329.259450437,240204.89144541183,79929.8777835131,39964.93889175655,286593.03275148943,0.0,646692.7408721709,2017636.5185782663,0.7572774691497544,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,94912.5904501559,474320.0000000001,893951.1315914557,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2360112.3873071074,-342475.8687288412,-0.1285411206269163,139.16,26.46,70.56,27.44,14.7,31971951.113405243
2027-04,2453940.434983147,281920.49080759,2735860.925790737,247743.27587359239,82075.8277737221,41037.91388686106,286593.03275148943,0.0,657450.050285665,2078410.875505072,0.7596917138265556,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,86268.21820904208,409640.0,820626.7593503417,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2286788.015065993,-208377.13956092112,-0.07616510678469321,139.16,26.46,70.56,27.44,14.7,32830331.109488845
2027-05,2511955.8871009797,299185.8019124306,2811141.6890134104,255635.8495213605,84334.25067040231,42167.125335201155,286593.03275148943,0.0,668730.2582784534,2142411.430734957,0.7621143534344053,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,90008.96956405386,431200.00000000006,845927.5107053536,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2312088.766421005,-169677.33568604803,-0.060358869974141166,139.16,26.46,70.56,27.44,14.7,33733700.268160924
2027-06,2575310.7582746972,317901.78197457554,2893212.5402492727,264172.3118385669,86796.37620747818,43398.18810373909,286593.03275148943,0.0,680959.9089012736,2212252.631347999,0.7646353665940478,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,96898.33785769675,474320.0000000001,895936.8789989965,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2362098.134714648,-149845.50336664915,-0.05179208277375253,139.16,26.46,70.56,27.44,14.7,34718550.48299127
2027-07,2625831.036402119,335431.82064483775,2961262.8570469567,271384.92651262996,88837.8857114087,44418.94285570435,286593.03275148943,0.0,691234.7878312324,2270028.0692157242,0.7665743227804679,949262.9633176142,0.0,31752.0,60000.0,1041014.9633176142,324718.54114129965,0.0,82023.25824538957,366520.00000000006,773261.7993866892,256497.4923980375,0.0,68600.0,25048.8,75000.0,425146.29239803745,2239423.055102341,30605.014113383368,0.010335122409195189,139.16,26.46,70.56,27.44,14.7,35535154.284563474
