month,opening_arr,new_arr,expansion_arr,price_arr,churn_arr,closing_arr,opening_customers,new_logos,churned_customers,customers,attach_rate,insights_customers,arpa_insights,arr_insights,arr_total
2026-09,22261073.295490406,611905.1400000001,209046.00138229868,0.0,-154144.18921459388,22927880.24765811,532.6245130899939,16.17,-3.6880959258467905,545.106417164147,0.265,144.45320054849898,14820.977684988775,2140937.6618545116,25068817.909512624
2026-10,22927880.24765811,611905.1400000001,215307.75368841118,0.0,-158761.4156906132,23596331.72565591,545.106417164147,16.17,-3.774525405585956,557.5018917585611,0.274,152.75551834184574,15043.292350263604,2297945.92053244,25894277.64618835
2026-11,23596331.72565591,582766.8000000002,221584.94916495788,0.0,-163390.02949272224,24237293.445328146,557.5018917585611,15.400000000000002,-3.8603564145370437,569.041535344024,0.28300000000000003,161.0387545023588,15268.941735517557,2458891.3596568326,26696184.80498498
2026-12,24237293.445328146,699320.1600000001,227603.99787649268,0.0,-167828.2936898256,24996389.309514813,569.041535344024,18.48,-3.94026132211699,583.5812740219071,0.29200000000000004,170.4057320143969,15497.975861550321,2640943.921428936,27637333.23094375
2027-01,24996389.309514813,561204.4284000002,234732.4032758051,1749747.2516660371,-173084.5639050137,27368988.828951642,583.5812740219071,13.860000000000003,-4.040940036038137,593.400333985869,0.30100000000000005,178.6135005297466,15730.445499473573,2809669.9355533733,30178658.764505014
2027-02,27368988.828951642,592382.4522000002,257012.66064867433,0.0,-189513.35080131362,28028870.590999,593.400333985869,14.63,-4.108930964278825,603.9214030215902,0.31000000000000005,187.215634936693,15966.402181965674,2989160.122151304,31018030.713150304
2027-03,28028870.590999,685916.5236000003,263209.38090155856,0.0,-194082.62461116596,28783913.870889395,603.9214030215902,16.940000000000005,-4.181782871940912,616.6796201496494,0.31900000000000006,196.7207988277382,16205.89821469516,3188037.2425158485,31971951.113405243
2027-04,28783913.870889395,592382.4522000002,270299.7298904205,0.0,-199310.83318205323,29447285.219797764,616.6796201496494,14.63,-4.270125648990517,627.0394945006589,0.32800000000000007,205.66895419621616,16448.986687915585,3383045.88969108,32830331.109488845
2027-05,29447285.219797764,623560.4760000003,276529.2196405382,0.0,-203904.2702265459,30143470.645211756,627.0394945006589,15.400000000000002,-4.341861382978012,638.0976331176809,0.3370000000000001,215.0389023606585,16695.721488234318,3590229.6229491676,33733700.268160924
2027-06,30143470.645211756,685916.5236000003,283066.85497696704,0.0,-208724.92449235776,30903729.099296365,638.0976331176809,16.940000000000005,-4.418432165919046,650.6192009517619,0.3460000000000001,225.11424352930965,16946.15731055783,3814821.3836949067,34718550.48299127
2027-07,30903729.099296365,530026.4046000002,290206.17785389547,0.0,-213989.244924839,31509972.436825424,650.6192009517619,13.090000000000002,-4.505136292708428,659.2040646590534,0.3550000000000001,234.01744295396404,17200.349670216197,4025181.847738053,35535154.284563474
2027-08,31509972.436825424,530026.4046000002,295899.1983068124,0.0,-218187.1057597475,32117710.933972493,659.2040646590534,13.090000000000002,-4.564581173829517,667.7294834852239,0.3640000000000001,243.05353198862156,17458.35491526944,4243314.824867149,36361025.758839644
2027-09,32117710.933972493,654738.4998000002,301606.2592839854,0.0,-222395.31965194145,32851660.373404536,667.7294834852239,16.17,-4.623614435848428,679.2758690493754,0.3730000000000001,253.3698991554171,17720.23023899848,4489772.948665817,37341433.32207035
2027-10,32851660.373404536,654738.4998000002,308498.5233493092,0.0,-227477.46640039477,33587419.930153444,679.2758690493754,16.17,-4.703566027468486,690.7423030219069,0.3820000000000001,263.8635597543685,17986.033692583453,4745858.875987079,38333278.80614053
2027-11,33587419.930153444,623560.4760000003,315407.78559716005,0.0,-232572.1470937522,34293816.04465686,690.7423030219069,15.400000000000002,-4.782964003676425,701.3593390182305,0.3910000000000001,274.2315015561282,18255.824197972204,5006322.081954617,39300138.12661147
2027-12,34293816.04465686,748272.5712000002,322041.3059655982,0.0,-237463.50407771784,35126666.41774473,701.3593390182305,18.48,-4.856480423293398,714.982858594937,0.40000000000000013,285.99314343797494,18529.661560941782,5299356.156655554,40426022.57440029
2028-01,35126666.41774473,600488.7383880003,329862.31432097906,2458866.6492421315,-243230.47873310023,38272653.64096275,714.982858594937,13.860000000000003,-4.9508148855866425,723.8920437093504,0.40900000000000014,296.0718458771244,18807.606484355907,5568402.768353828,43841056.40931658
2028-02,38272653.64096275,633849.2238540002,359405.18679095805,0.0,-265014.49801040295,39000893.5535973,723.8920437093504,14.63,-5.01250549222519,733.5095382171253,0.41800000000000015,306.60698697475846,19089.720581621244,5853041.709720924,44853935.263318226
